world_cup_year,match_date,stage,team_rank,team_goals,opponent_goals,opponent_code,opponent,opponent_rank,opponent_confederation,result,team_shootout_goals,opponent_shootout_goals,extra_time,status,ranking_date,ranking_source_url,match_source_url
2010,2010-06-27,Round of 16,6,4,1,ENG,England,8,UEFA,win,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2010,2010-07-03,Quarter-final,6,4,0,ARG,Argentina,7,CONMEBOL,win,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2010,2010-07-07,Semi-final,6,0,1,ESP,Spain,2,UEFA,loss,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2010,2010-07-10,Third-place play-off,6,3,2,URU,Uruguay,16,CONMEBOL,win,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2014,2014-06-16,Group stage,2,4,0,POR,Portugal,4,UEFA,win,,,False,completed,2014-06-05,https://web.archive.org/web/20141107005059/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=239/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/brazil2014
2014,2014-06-21,Group stage,2,2,2,GHA,Ghana,37,CAF,draw,,,False,completed,2014-06-05,https://web.archive.org/web/20141107005059/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=239/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/brazil2014
2014,2014-06-26,Group stage,2,1,0,USA,USA,13,CONCACAF,win,,,False,completed,2014-06-05,https://web.archive.org/web/20141107005059/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=239/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/brazil2014
2014,2014-06-30,Round of 16,2,2,1,ALG,Algeria,22,CAF,win,,,True,completed,2014-06-05,https://web.archive.org/web/20141107005059/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=239/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/brazil2014
2014,2014-07-04,Quarter-final,2,1,0,FRA,France,17,UEFA,win,,,False,completed,2014-06-05,https://web.archive.org/web/20141107005059/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=239/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/brazil2014
2018,2018-06-17,Group stage,1,0,1,MEX,Mexico,15,CONCACAF,loss,,,False,completed,2018-06-07,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/calculating-russia-2018-s-toughest-groups,https://www.fifa.com/en/tournaments/mens/worldcup/russia2018
2018,2018-06-23,Group stage,1,2,1,SWE,Sweden,24,UEFA,win,,,False,completed,2018-06-07,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/calculating-russia-2018-s-toughest-groups,https://www.fifa.com/en/tournaments/mens/worldcup/russia2018
2018,2018-06-27,Group stage,1,0,2,KOR,Korea Republic,57,AFC,loss,,,False,completed,2018-06-07,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/calculating-russia-2018-s-toughest-groups,https://www.fifa.com/en/tournaments/mens/worldcup/russia2018
2022,2022-11-23,Group stage,11,1,2,JPN,Japan,24,AFC,loss,,,False,completed,2022-10-06,https://www.fifa.com/fifa-world-ranking/mens-ranking?dateId=id13792,https://www.fifa.com/en/tournaments/mens/worldcup/qatar2022
2022,2022-12-01,Group stage,11,4,2,CRC,Costa Rica,31,CONCACAF,win,,,False,completed,2022-10-06,https://www.fifa.com/fifa-world-ranking/mens-ranking?dateId=id13792,https://www.fifa.com/en/tournaments/mens/worldcup/qatar2022
2026,2026-06-14,Group stage,10,7,1,CUW,Curaçao,82,CONCACAF,win,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-06-20,Group stage,10,2,1,CIV,Côte d'Ivoire,33,CAF,win,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-06-25,Group stage,10,1,2,ECU,Ecuador,23,CONMEBOL,loss,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-06-29,Group stage,10,1,1,PAR,Paraguay,41,CONMEBOL,loss,3,4,True,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
